folder_name,Testcase_Id,title,Preconditions,Test Steps,Expected Results,Priority,type,test scope,run_type,Memo,REQ_Id
PV > ICSR Config > Case ID > 기본 구조 > 자동 부여 및 표시,TC-CASEID-005-001,케이스 생성 시 Case ID 자동 부여 및 Tracker·Case Edit 표시 검증,"1. Org Admin 계정으로 로그인됨
2. Case ID Configuration 완료 (조직 식별자·번호 조합 설정 저장)
3. 케이스 생성 권한 있는 계정 준비","1. Manual Intake로 케이스 작성 후 Destination 확정 및 저장
2. Case Edit 화면에서 Case ID 확인
3. Tracker에서 해당 케이스 Case ID 컬럼 확인","1. 케이스 생성 완료 시 Case ID가 자동으로 부여됨
2. 설정된 번호 조합 형식이 적용됨
3. Case Edit과 Tracker에 동일한 Case ID가 표시됨",High,Functional,"Regression,E2E,Smoke",Automation,[연계] Tracker·Case Edit 연동 표시 검증,"REQ-001, REQ-002, REQ-005"
PV > ICSR Config > Case ID > 기본 구조 > 자동 부여 및 표시,TC-CASEID-005-002,Case Edit 화면 Case ID 필드 표시 검증,"1. Case ID가 부여된 케이스 존재
2. Org Admin 계정으로 로그인됨","1. 케이스 목록에서 특정 케이스 선택
2. Case Edit 화면 진입
3. Case ID 필드 확인","1. Case Edit 지정 위치에 Case ID가 표시됨
2. 번호 조합 형식으로 표시됨",High,Functional,Regression,Automation,,REQ-002
PV > ICSR Config > Case ID > 기본 구조 > 자동 부여 및 표시,TC-CASEID-005-003,Tracker Case ID 컬럼 표시 검증,"1. Case ID가 부여된 케이스 1건 이상 존재
2. Org Admin 계정으로 로그인됨","1. Tracker 화면 접근
2. Case ID 컬럼 확인","1. Tracker에 Case ID 컬럼이 존재함
2. 케이스별 Case ID가 번호 조합 형식으로 표시됨",High,Functional,Regression,Automation,,REQ-002
PV > ICSR Config > Case ID > 기본 구조 > ID 재사용 방지,TC-CASEID-006-001,삭제된 케이스 일련번호 건너뛰고 신규 부여 검증,"1. Case ID 순차 부여된 케이스 3건 이상 존재
2. Org Admin 계정으로 로그인됨","1. 마지막 Case ID 번호 확인 (예: 00003)
2. 해당 케이스 삭제
3. 신규 케이스 생성
4. 신규 케이스 Case ID 일련번호 확인","1. 삭제된 케이스 번호(00003)는 재사용되지 않음
2. 삭제 이후 번호(00004)가 신규 케이스에 부여됨",High,Functional,"Regression,Smoke",Automation,[데이터] ID 재사용 방지 (ICSR 규제 요건) — 기획서 §개요 및 정책 명시,REQ-004
PV > ICSR Config > Case ID > 기본 구조 > ID 재사용 방지,TC-CASEID-006-002,삭제된 케이스 번호 재사용 완전 방지 확인,"1. 특정 번호(예: 00005)의 케이스가 삭제된 이력 있음
2. 이후 신규 케이스 여러 건 생성됨","1. Tracker에서 전체 케이스 Case ID 목록 조회
2. 삭제된 번호(00005)가 현재 케이스 중 사용 여부 확인","1. 삭제된 번호(00005)가 어떤 케이스에도 사용되지 않음
2. 00005 이후 번호부터 순차 부여된 상태 확인",High,Negative,Regression,Automation,[데이터] 규제 요건 — 삭제 번호 재사용 완전 방지,REQ-004
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-007-001,Year 2-digit 설정 시 YY 형식 표기 검증,"1. Org Admin 계정으로 로그인됨
2. Year 설정을 '2-digit(YY)'로 저장 완료","1. C.1.4가 2026년인 케이스 생성
2. Case ID 연도 부분 확인","1. Case ID에 연도가 '26' 2자리로 표시됨
2. C.1.4 연도 뒤 2자리가 정확히 반영됨",High,Functional,Regression,Both,,REQ-012
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-007-002,Year 2-digit 설정 시 매년 1월 1일 일련번호 리셋 검증,"1. Year 설정이 YY이고 이전 연도 케이스가 생성된 상태
2. 테스트 환경에서 날짜 조작 가능","1. 테스트 환경 날짜를 신년 1월 1일 00:00:00으로 변경
2. 케이스 생성
3. 일련번호 확인","1. 신년 첫 케이스 일련번호가 00001부터 시작됨
2. 이전 연도 일련번호와 독립적으로 초기화됨",High,Functional,Regression,Both,날짜 조작 테스트 환경 필요,REQ-012
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-008-001,Year 4-digit 설정 시 YYYY 형식 표기 검증,"1. Org Admin 계정으로 로그인됨
2. Year 설정을 '4-digit(YYYY)'로 저장 완료","1. C.1.4가 2026년인 케이스 생성
2. Case ID 연도 부분 확인","1. Case ID에 연도가 '2026' 4자리로 표시됨
2. C.1.4 연도 전체 4자리가 반영됨",High,Functional,Regression,Both,,REQ-013
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-008-002,Year 4-digit 설정 시 매년 1월 1일 일련번호 리셋 검증,"1. Year 설정이 YYYY이고 이전 연도 케이스가 생성된 상태
2. 테스트 환경에서 날짜 조작 가능","1. 테스트 환경 날짜를 신년 1월 1일 00:00:00으로 변경
2. 케이스 생성
3. 일련번호 확인","1. 신년 첫 케이스 일련번호가 00001부터 시작됨
2. 이전 연도 일련번호와 독립적으로 초기화됨",High,Functional,Regression,Both,날짜 조작 테스트 환경 필요,REQ-013
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-009-001,Year N/A 설정 시 연도 미포함 누적 증가 검증,"1. Org Admin 계정으로 로그인됨
2. Year 설정을 'N/A'로 저장 완료
3. 이전 연도 케이스 생성 이력 있음","1. 신년 이후 케이스 생성
2. Case ID 구성 및 일련번호 확인","1. Case ID에 연도 표기 없음
2. 이전 연도 마지막 번호에 이어 누적 증가된 번호가 부여됨
3. 연도 초기화 없이 연속 번호 유지됨",High,Functional,Regression,Automation,,REQ-014
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-010-001,Year 설정란 툴팁 안내 문구 표시 검증,"1. Org Admin 계정으로 로그인됨
2. Admin > ICSR Config > Case ID Configuration 화면 접근 완료","1. Year 설정 영역의 툴팁 아이콘 클릭 또는 호버
2. 표시 문구 확인","1. ""연도 선택 시 매년 초 '00001' 초기화 / N/A 선택 시(Chip 미추가 시) 누적"" 안내 문구가 노출됨
2. 툴팁 문구가 기획서 정의 문구와 일치함",Low,Functional,Regression,Manual,,REQ-015
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-011-001,Year 설정 변경 후 신규 케이스에 새 설정 적용 검증,"1. Org Admin 계정으로 로그인됨
2. Year 설정 YY로 케이스 생성 이력 존재
3. Configuration 화면 접근 완료","1. Year 설정을 YY에서 YYYY로 변경 후 저장
2. 새 케이스 생성
3. 신규 케이스 Case ID 연도 형식 확인","1. 저장 성공 메시지가 표시됨
2. 변경 후 생성된 케이스의 Case ID에 YYYY 형식 연도가 반영됨
3. 이전 YY 형식 케이스는 영향 없음",High,Functional,"Regression,Smoke",Automation,[데이터] 설정 변경 소급 방지 — 기획서 REQ-016 명시,REQ-016
PV > ICSR Config > Case ID > 번호 조합 > Year 설정,TC-CASEID-011-002,Year 설정 변경 전 기존 케이스 Case ID 불변 검증,"1. YY 설정으로 생성된 기존 케이스 존재
2. Year 설정이 YYYY로 변경 완료된 상태","1. 변경 전에 생성된 기존 케이스 Case ID 확인
2. 연도 형식이 변경되었는지 검증","1. 기존 케이스의 Case ID가 변경 전 YY 형식 그대로 유지됨
2. DB에 저장된 기존 Case ID 값이 수정되지 않음",High,Functional,Regression,Automation,[데이터] 기존 데이터 불변 원칙 — 기획서 REQ-016 명시,REQ-016
PV > ICSR Config > Case ID > 번호 조합 > Type of Report 설정,TC-CASEID-012-001,Type of Report Spontaneous 케이스 SP 구분자 자동 추가 검증,"1. Org Admin 계정으로 로그인됨
2. TR(Type of Report) 칩이 Configuration에 추가된 상태
3. Type of Report = Spontaneous인 케이스 존재",1. Spontaneous 케이스의 Case ID 확인,"1. Case ID에 'SP' 구분자가 포함됨
2. 구분자 위치가 TR 칩 설정 위치와 일치함",High,Functional,Regression,Automation,,REQ-017
PV > ICSR Config > Case ID > 번호 조합 > Type of Report 설정,TC-CASEID-012-002,Type of Report Report from Study 케이스 RS 구분자 자동 추가 검증,"1. TR 칩이 Configuration에 추가된 상태
2. Type of Report = Report from Study인 케이스 존재",1. Report from Study 케이스의 Case ID 확인,"1. Case ID에 'RS' 구분자가 포함됨
2. 구분자 위치가 정확함",High,Functional,Regression,Automation,,REQ-017
PV > ICSR Config > Case ID > 번호 조합 > Type of Report 설정,TC-CASEID-012-003,Type of Report Other 케이스 OT 구분자 자동 추가 검증,"1. TR 칩이 Configuration에 추가된 상태
2. Type of Report = Other인 케이스 존재",1. Other 케이스의 Case ID 확인,"1. Case ID에 'OT' 구분자가 포함됨
2. 구분자 위치가 정확함",High,Functional,Regression,Automation,,REQ-017
PV > ICSR Config > Case ID > 번호 조합 > Type of Report 설정,TC-CASEID-012-004,Type of Report Not Available 케이스 UN 구분자 자동 추가 검증,"1. TR 칩이 Configuration에 추가된 상태
2. Type of Report = Not Available인 케이스 존재",1. Not Available 케이스의 Case ID 확인,"1. Case ID에 'UN' 구분자가 포함됨
2. 구분자 위치가 정확함",High,Functional,Regression,Automation,,REQ-017
PV > ICSR Config > Case ID > 번호 조합 > Type of Report 설정,TC-CASEID-013-001,Type of Report 미입력 케이스 UN 기본 구분자 적용 검증,"1. TR 칩이 Configuration에 추가된 상태
2. Type of Report 미입력 상태의 케이스 존재",1. Type of Report 미입력 케이스의 Case ID 확인,"1. Case ID에 'UN' 구분자가 기본값으로 포함됨
2. Null 케이스 폴백 처리 정책 적용 확인",Medium,Functional,Regression,Automation,,REQ-019
PV > ICSR Config > Case ID > 번호 조합 > Type of Report 설정,TC-CASEID-014-001,TR 칩 추가 시 안내 문구 노출 검증,"1. Org Admin 계정으로 로그인됨
2. Configuration 화면에서 TR 칩 미추가 상태","1. 번호 조합 구성 영역에서 TR 칩 추가
2. TR 칩 설정 영역 안내 문구 확인","1. TR 칩 추가 즉시 설정 영역이 활성화됨
2. ""체크 시 케이스의 Type of Report 값에 따라 구분자가 Case ID에 자동 추가됩니다."" 문구가 표시됨",Low,Functional,Regression,Manual,,REQ-018
PV > ICSR Config > Case ID > 번호 조합 > Product Abbreviation 설정,TC-CASEID-015-001,PRD 칩 활성화 시 Product Config 등록 약어 참조 검증,"1. Org Admin 계정으로 로그인됨
2. PRD 칩이 Configuration에 추가됨
3. Admin Product Config에 약어(예: ASPN)가 등록된 제품 존재","1. 해당 제품이 '제품 불러오기'로 포함된 케이스 생성
2. Case ID 확인","1. Case ID에 등록된 약어 'ASPN'이 PRD 위치에 반영됨
2. Product Config의 약어와 일치함",High,Functional,Regression,Automation,,REQ-020
PV > ICSR Config > Case ID > 번호 조합 > Product Abbreviation 설정,TC-CASEID-015-002,Product Config 약어 미등록 제품 포함 시 UNK 표시 검증,"1. PRD 칩이 Configuration에 추가됨
2. Product Config에 약어가 미등록된 제품이 포함된 케이스 존재",1. 약어 미등록 제품 포함 케이스의 Case ID 확인,"1. Case ID PRD 위치에 'UNK'가 표시됨
2. 약어 미등록 시 UNK 기본값 적용 확인",High,Functional,Regression,Automation,,REQ-020
PV > ICSR Config > Case ID > 번호 조합 > Product Abbreviation 설정,TC-CASEID-016-001,제품 불러오기 포함 케이스에서 PRD 칩 활성화 검증,"1. PRD 칩이 Configuration에 추가됨
2. '제품 불러오기'로 제품이 포함된 케이스 생성됨",1. 제품 포함 케이스의 Case ID PRD 영역 확인,"1. Case ID PRD 영역에 제품 약어 또는 UNK가 표시됨
2. PRD 칩이 활성화 상태로 동작함",Medium,Functional,Regression,Automation,,REQ-021
PV > ICSR Config > Case ID > 번호 조합 > Product Abbreviation 설정,TC-CASEID-016-002,제품 미포함 케이스에서 PRD 칩 비활성화 검증,"1. PRD 칩이 Configuration에 추가됨
2. 제품 미포함 케이스 존재",1. 제품 미포함 케이스 Case ID 확인,"1. PRD 칩 위치에 약어가 표시되지 않거나 비활성화 상태로 처리됨
2. 제품 없을 때 PRD 미적용 확인",Medium,Negative,Regression,Automation,,REQ-021
PV > ICSR Config > Case ID > 번호 조합 > Product Abbreviation 설정,TC-CASEID-017-001,Suspect 자사 제품 2개 이상 시 입력 순서 첫 번째 약어 표시 검증,"1. Org Admin 계정으로 로그인됨
2. PRD 칩이 Configuration에 추가됨
3. Suspect 자사 제품 2개(약어: ASPN 1순위, BETO 2순위) 포함 케이스 존재",1. 해당 케이스 Case ID 확인,"1. Case ID에 첫 번째 입력 순서 제품 약어 'ASPN'이 표시됨
2. 두 번째 제품 약어 'BETO'는 미표시됨",Medium,Functional,Regression,Automation,,REQ-022
PV > ICSR Config > Case ID > 번호 조합 > Product Abbreviation 설정,TC-CASEID-018-001,Product Config 약어 삭제 후 기존 케이스 Case ID 불변 검증,"1. Org Admin 계정으로 로그인됨
2. 약어 'ASPN'으로 생성된 기존 케이스 존재
3. Admin Product Config 접근 가능","1. Admin Product Config에서 'ASPN' 약어 삭제
2. 기존 케이스 Case ID 확인","1. 약어 삭제 전 생성된 케이스의 Case ID가 'ASPN' 그대로 유지됨
2. DB에 저장된 기존 Case ID 불변",High,Functional,Regression,Automation,[데이터] 기존 케이스 데이터 불변 원칙 — 기획서 REQ-023 명시,REQ-023
PV > ICSR Config > Case ID > 번호 조합 > Product Abbreviation 설정,TC-CASEID-018-002,Product Config 약어 삭제 후 신규 케이스에 변경 반영 검증,"1. 'ASPN' 약어 삭제 완료
2. 동일 제품 포함 케이스 신규 생성 가능 상태","1. 약어 삭제 후 동일 제품 포함 신규 케이스 생성
2. 신규 케이스 Case ID 확인","1. 신규 케이스 Case ID에 'ASPN' 대신 'UNK' 또는 변경된 약어가 반영됨
2. 약어 삭제 변경이 신규 케이스에 적용됨",High,Functional,Regression,Automation,[데이터] 신규 케이스 변경 반영 — 기획서 REQ-023 명시,REQ-023
PV > ICSR Config > Case ID > 번호 조합 > 자유 텍스트 설정,TC-CASEID-019-001,자유 텍스트 유효 입력(영문/숫자 최대 6자) 시 Case ID 반영 검증,"1. Org Admin 계정으로 로그인됨
2. 자유 텍스트 칩이 추가된 Configuration 화면 접근","1. 자유 텍스트 필드에 영문 6자(예: SMTEST) 입력
2. 저장
3. 케이스 생성 후 Case ID 확인","1. 입력한 'SMTEST' 텍스트가 저장됨
2. 케이스 Case ID TXT 칩 위치에 'SMTEST'가 반영됨",Medium,Functional,Regression,Automation,,REQ-024
PV > ICSR Config > Case ID > 번호 조합 > 자유 텍스트 설정,TC-CASEID-019-002,자유 텍스트 드래그앤드롭 배치 후 Case ID 반영 검증,"1. Org Admin 계정으로 로그인됨
2. 자유 텍스트 칩 포함 복수 칩이 추가된 상태","1. TXT 칩을 드래그하여 다른 위치로 이동
2. 저장
3. Preview 및 케이스 생성 후 Case ID 확인","1. TXT 칩이 원하는 위치에 배치됨
2. Preview에 새 순서가 실시간 반영됨
3. 케이스 Case ID에 배치된 위치의 자유 텍스트가 포함됨",Medium,Functional,Regression,Both,,"REQ-024, REQ-026"
PV > ICSR Config > Case ID > 번호 조합 > 자유 텍스트 설정,TC-CASEID-020-001,자유 텍스트 특수문자 입력 시 차단 검증,"1. Org Admin 계정으로 로그인됨
2. 자유 텍스트 칩이 추가된 Configuration 화면 접근","1. 자유 텍스트 필드에 특수문자 포함 값(예: SM@!) 입력 시도
2. 저장 시도","1. 특수문자 입력이 차단되거나 오류 메시지가 표시됨
2. 저장되지 않음",Medium,Negative,Regression,Automation,,"REQ-003, REQ-024"
PV > ICSR Config > Case ID > 번호 조합 > 자유 텍스트 설정,TC-CASEID-020-002,자유 텍스트 7글자 이상 입력 시 차단 검증,"1. Org Admin 계정으로 로그인됨
2. 자유 텍스트 칩이 추가된 Configuration 화면 접근","1. 자유 텍스트 필드에 7글자(예: SMTEST1) 입력 시도
2. 저장 시도","1. 7글자 입력이 차단되거나 오류 메시지가 표시됨
2. 최대 6글자 제한 적용 확인",Medium,Boundary,Regression,Automation,,REQ-024
PV > ICSR Config > Case ID > 번호 조합 > 자유 텍스트 설정,TC-CASEID-021-001,자유 텍스트 빈값(공란) 저장 시 칩 미등록 상태 동일 처리 검증,"1. Org Admin 계정으로 로그인됨
2. 자유 텍스트 칩이 추가된 Configuration 화면 접근","1. 자유 텍스트 필드를 빈값(공란) 상태로 유지
2. 저장 버튼 클릭
3. 케이스 생성 후 Case ID 확인","1. 오류 없이 저장됨
2. 자유 텍스트 칩이 제거된 상태와 동일하게 처리됨
3. 케이스 Case ID에 TXT 칩 구분자가 포함되지 않음",Medium,Functional,Regression,Automation,,REQ-025
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 자릿수 설정,TC-CASEID-022-001,일련번호 3자리 선택 시 Zero-padding 적용 검증,"1. Org Admin 계정으로 로그인됨
2. 일련번호 자릿수를 3자리로 설정 후 저장 완료","1. 첫 케이스 생성
2. Case ID 일련번호 부분 확인","1. 일련번호가 '001' 형식으로 3자리 Zero-padding 적용됨
2. 자릿수 설정이 정확히 반영됨",High,Boundary,"Regression,Smoke",Automation,,REQ-027
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 자릿수 설정,TC-CASEID-022-002,일련번호 9자리 선택 시 Zero-padding 적용 검증,"1. Org Admin 계정으로 로그인됨
2. 일련번호 자릿수를 9자리로 설정 후 저장 완료","1. 케이스 생성
2. Case ID 일련번호 부분 확인","1. 일련번호가 '000000001' 형식으로 9자리 Zero-padding 적용됨
2. 최대 자릿수 설정이 정확히 반영됨",High,Boundary,Regression,Automation,,REQ-027
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 자릿수 설정,TC-CASEID-023-001,일련번호 자릿수 변경 후 신규 케이스에 새 자릿수 적용 검증,"1. Org Admin 계정으로 로그인됨
2. 자릿수 5자리로 생성된 기존 케이스 존재
3. Configuration 화면 접근","1. 자릿수를 5자리에서 7자리로 변경 후 저장
2. 신규 케이스 생성
3. 신규 케이스 Case ID 일련번호 확인","1. 저장 성공 메시지가 표시됨
2. 신규 케이스 일련번호가 7자리로 표시됨
3. 기존 케이스는 영향 없음",High,Functional,Regression,Automation,[데이터] 설정 변경 소급 방지 — 기획서 REQ-028 명시,REQ-028
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 자릿수 설정,TC-CASEID-023-002,일련번호 자릿수 변경 전 기존 케이스 소급 미적용 검증,"1. 자릿수 5자리로 생성된 기존 케이스 존재
2. 자릿수를 7자리로 변경 완료된 상태","1. 변경 전에 생성된 기존 케이스 Case ID 확인
2. 일련번호 자릿수 변경 여부 검증","1. 기존 케이스 Case ID 일련번호가 5자리 그대로 유지됨
2. DB에 저장된 기존 Case ID 불변",High,Functional,Regression,Automation,[데이터] 기존 데이터 불변 원칙 — 기획서 REQ-028 명시,REQ-028
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 시작점 설정,TC-CASEID-024-001,시작 번호 필드 기본값 1 표시 검증,"1. Org Admin 계정으로 로그인됨
2. Case ID Configuration 화면 신규 접근 (시작 번호 미설정 상태)",1. 일련번호 시작 번호 필드 값 확인,1. 시작 번호 필드 기본값이 '1'로 표시됨,Medium,Functional,Regression,Automation,,REQ-029
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 시작점 설정,TC-CASEID-024-002,시작 번호 빈값 커서아웃 시 강제 1 기입 검증,"1. Org Admin 계정으로 로그인됨
2. Case ID Configuration 화면 접근","1. 시작 번호 필드를 빈값으로 지움
2. 다른 필드로 포커스 이동 (커서아웃)
3. 시작 번호 필드 값 확인","1. 커서아웃 시 빈값 필드에 '1'이 자동 기입됨
2. 빈값 상태로 남지 않음",Medium,Functional,Regression,Automation,,REQ-029
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 시작점 설정,TC-CASEID-025-001,사용자 지정 시작 번호부터 카운팅 시작 검증,"1. Org Admin 계정으로 로그인됨
2. Case ID Configuration 화면 접근
3. 케이스 생성 이력 없거나 시작 번호 조건 충족 상태","1. 시작 번호를 100으로 입력 후 저장
2. 신규 케이스 생성
3. Case ID 일련번호 확인","1. 저장 성공 메시지가 표시됨
2. 신규 케이스 일련번호가 100(Zero-padding 적용 시 '00100')부터 시작됨",High,Functional,Regression,Automation,,REQ-030
PV > ICSR Config > Case ID > 번호 조합 > 일련번호 시작점 설정,TC-CASEID-025-002,시작 번호 저장 후 첫 케이스 즉시 적용 검증,"1. 시작 번호를 50으로 저장 완료
2. 케이스 생성 권한 있는 계정 준비","1. 저장 직후 바로 케이스 생성
2. Case ID 일련번호 확인","1. 첫 번째 신규 케이스에 즉시 50번부터 번호가 부여됨
2. 별도 새로고침 없이 즉시 적용 확인",High,Functional,Regression,Automation,,REQ-030
