folder_name,Testcase_Id,title,Preconditions,Test Steps,Expected Results,Priority,type,test scope,run_type,Memo,REQ_Id
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-004-003,조직 식별자 특수문자 입력 차단 검증,"1. Configuration 화면 접근","1. 조직 식별자 필드에 '@' 입력 시도
2. '-' 입력 시도","1. [Front] 특수문자 입력 불가 또는 저장 차단
2. [Front] (문구 확인 필요) 에러 메시지 표시
3. [Data] 영문/숫자 외 값 미저장됨",High,Negative,Regression,Automation,에러 메시지 문구 확인 필요 (참고용),REQ-007
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-004-004,조직 식별자 한글 입력 차단 검증,"1. Configuration 화면 접근","1. 조직 식별자 필드에 한글(예: 셀타) 입력 시도","1. [Front] 한글 입력 불가 또는 저장 차단
2. [Front] (문구 확인 필요) 에러 메시지 표시
3. [Data] 영문/숫자 외 값 미저장됨",High,Negative,Regression,Automation,에러 메시지 문구 확인 필요 (참고용),REQ-007
"PV > ICSR Config > Case ID > Year 설정",TC-CASEID-005-001,Year 2-digit 설정 후 Case ID 연도 2자리 표기 검증,"1. Configuration 화면 접근
2. Year Chip 추가됨","1. Year = 2-digit(YY) 선택 후 저장
2. 케이스 생성
3. Case ID 확인","1. [Front] Case ID에 연도 뒤 2자리 포함됨 (예: 26XXXXXX)
2. [Data] 연도 2자리 형식으로 저장
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-009
"PV > ICSR Config > Case ID > Year 설정",TC-CASEID-005-002,Year 4-digit 설정 후 Case ID 연도 4자리 표기 검증,"1. Configuration 화면 접근
2. Year Chip 추가됨","1. Year = 4-digit(YYYY) 선택 후 저장
2. 케이스 생성
3. Case ID 확인","1. [Front] Case ID에 연도 전체 4자리 포함됨 (예: 2026XXXXXX)
2. [Data] 연도 4자리 형식으로 저장
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-010
"PV > ICSR Config > Case ID > Year 설정",TC-CASEID-005-003,Year N/A 설정 후 연도 미표기 및 일련번호 누적 검증,"1. Configuration 화면 접근","1. Year = N/A 선택 후 저장
2. 케이스 10건 생성 (연도 변경 전후)
3. Case ID 확인","1. [Front] Case ID에 연도 미포함
2. [Data] 연도 변경 후에도 일련번호 초기화 없이 누적 확인
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-011
"PV > ICSR Config > Case ID > Year 설정",TC-CASEID-005-004,Year 2-digit/4-digit 연초 일련번호 리셋 정책 검증,"1. Year = 2-digit 또는 4-digit 설정 저장
2. 시스템 날짜 조작 가능 환경","1. 12월 31일 23:59 케이스 생성 확인
2. 1월 1일 00:00:01 케이스 생성
3. 일련번호 확인","1. [Front] 새해 첫 케이스 일련번호 '00001'(자릿수 기준) 리셋 확인
2. [Data] 전년도 번호와 신년도 번호 독립 관리
3. [Downstream] 없음",High,Functional,Regression,Manual,,REQ-009
"PV > ICSR Config > Case ID > Year 설정",TC-CASEID-006-001,Year 툴팁 노출 및 삭제 문구 미포함 검증,"1. Configuration 화면 접근
2. Year 설정 영역 표시됨","1. Year 설정란 옆 툴팁 아이콘 클릭 또는 호버
2. 툴팁 내용 확인","1. [Front] 툴팁 표시됨
2. [Front] '연월 선택 시 매월 초에' 문구 미포함 확인 (CONFLICT-001 수정)
3. [Downstream] 없음",Medium,Functional,Regression,Manual,CONFLICT-001 수정 반영 검증,REQ-012
"PV > ICSR Config > Case ID > Year 설정",TC-CASEID-006-002,Year 툴팁 정확한 문구 표시 검증,"1. Configuration 화면 접근","1. Year 툴팁 내용 전체 텍스트 확인","1. [Front] 툴팁 문구: '연도 선택 시 매년 초에 일련번호가 00001로 초기화됩니다. N/A 선택 시(Chip을 추가하지 않았을 경우) 초기화 없이 번호가 계속 누적됩니다.' 포함
2. [Downstream] 없음",Medium,Functional,Regression,Manual,,REQ-012
"PV > ICSR Config > Case ID > Type of Report",TC-CASEID-007-001,Spontaneous 보고 유형 SP 구분자 Case ID 반영 검증,"1. TR Chip 추가 및 Configuration 저장
2. 케이스 생성 환경","1. Type of Report = Spontaneous인 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 'SP' 포함
2. [Data] TR 구분자 'SP' 저장 확인
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-013
"PV > ICSR Config > Case ID > Type of Report",TC-CASEID-007-002,Report from Study 보고 유형 RS 구분자 반영 검증,"1. TR Chip 추가 및 Configuration 저장","1. Type of Report = Report from Study인 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 'RS' 포함
2. [Data] 저장 확인",High,Functional,Regression,Automation,,REQ-013
"PV > ICSR Config > Case ID > Type of Report",TC-CASEID-007-003,Other 보고 유형 OT 구분자 반영 검증,"1. TR Chip 추가 및 Configuration 저장","1. Type of Report = Other인 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 'OT' 포함
2. [Data] 저장 확인",High,Functional,Regression,Automation,,REQ-013
"PV > ICSR Config > Case ID > Type of Report",TC-CASEID-007-004,Not Available 보고 유형 UN 구분자 반영 검증,"1. TR Chip 추가 및 Configuration 저장","1. Type of Report = Not Available to Sender인 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 'UN' 포함
2. [Data] 저장 확인",High,Functional,Regression,Automation,,REQ-013
"PV > ICSR Config > Case ID > Type of Report",TC-CASEID-007-005,Configuration Preview 기본값 SP 노출 검증,"1. TR Chip 추가된 Configuration 화면 접근","1. Configuration 화면의 Case ID Preview 확인","1. [Front] Preview에 기본값 'SP' 표시됨
2. [Downstream] 없음",Medium,Functional,Regression,Manual,,REQ-013
"PV > ICSR Config > Case ID > Product Abbreviation",TC-CASEID-008-001,제품 있는 케이스 PRD 약어 포함 검증,"1. PRD Chip 추가 및 Configuration 저장
2. Product Config에 약어 'SELTA' 등록","1. 제품 불러오기로 등록 제품 포함 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 제품 약어 'SELTA' 포함
2. [Data] PRD 약어 저장 확인
3. [Downstream] 없음",High,Functional,"Regression,Smoke",Automation,,REQ-014
"PV > ICSR Config > Case ID > Product Abbreviation",TC-CASEID-008-002,제품 없는 케이스 UNK 포함 검증,"1. PRD Chip 추가 및 Configuration 저장","1. 제품 불러오기 미사용 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 'UNK' 포함
2. [Data] PRD 위치에 'UNK' 저장 확인
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-015
"PV > ICSR Config > Case ID > Product Abbreviation",TC-CASEID-008-003,PRD Chip 미포함 시 PRD 값 미표시 검증,"1. PRD Chip 미포함 Configuration 저장","1. 케이스 생성
2. Case ID에 PRD 값 포함 여부 확인","1. [Front] Case ID에 PRD 값(약어 또는 UNK) 미포함
2. [Data] 없음",High,Negative,Regression,Automation,,REQ-014
"PV > ICSR Config > Case ID > Product Abbreviation",TC-CASEID-009-001,Suspect 자사 제품 2개 시 첫 번째 약어 표시 검증,"1. PRD Chip 추가 및 Configuration 저장
2. Product Config에 자사 제품 약어 'AAA', 'BBB' 등록 (순서 1: AAA, 순서 2: BBB)","1. Suspect 자사 제품 2개(AAA, BBB) 포함 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 첫 번째 약어 'AAA'만 포함
2. [Data] 'BBB' 미표시 확인
3. [Downstream] 없음",Medium,Functional,Regression,Automation,,REQ-016
"PV > ICSR Config > Case ID > Product Abbreviation",TC-CASEID-009-002,제품 순서 변경 후 새 첫 번째 약어 반영 검증,"1. 자사 제품 순서 1번을 'BBB'로 변경 후 저장","1. 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 현재 순서 1번 약어 'BBB' 포함
2. [Data] 순서 기준 첫 번째 약어 적용됨",Medium,Functional,Regression,Automation,,REQ-016
"PV > ICSR Config > Case ID > 자유 텍스트",TC-CASEID-010-001,자유 텍스트 블록 활성화 및 값 입력 검증,"1. TXT Chip 추가된 Configuration 화면 접근","1. 자유 텍스트 체크박스 선택
2. Custom Text 블록 활성화 확인
3. 텍스트 'STUDY' 입력","1. [Front] 체크박스 선택 시 Custom Text 블록 활성화됨
2. [Front] 'STUDY' 입력 가능
3. [Downstream] 없음",High,Functional,Regression,Manual,,REQ-017
"PV > ICSR Config > Case ID > 자유 텍스트",TC-CASEID-010-002,자유 텍스트 저장 후 Case ID 반영 검증,"1. 자유 텍스트 'STUDY' 입력 후 저장 완료","1. 케이스 생성
2. Case ID 확인","1. [Front] Case ID에 'STUDY' 포함
2. [Data] 자유 텍스트 값 반영 저장됨
3. [Downstream] 없음",High,Functional,"Regression,Smoke",Automation,,REQ-017
"PV > ICSR Config > Case ID > 자유 텍스트",TC-CASEID-010-003,TXT Chip Drag and Drop 순서 변경 검증,"1. TXT Chip 및 다른 Chip(Year 등) 추가된 Configuration 화면","1. TXT Chip을 드래그하여 Year Chip 앞으로 이동
2. Preview 확인","1. [Front] Drag & Drop 동작 가능
2. [Front] Preview가 변경된 순서 실시간 반영
3. [Downstream] 없음",Medium,Functional,Regression,Manual,,REQ-017
"PV > ICSR Config > Case ID > 자유 텍스트",TC-CASEID-011-001,자유 텍스트 6글자 최댓값 정상 저장 검증,"1. TXT Chip 추가 후 Custom Text 블록 활성화","1. 자유 텍스트 필드에 6글자 영문(ABCDEF) 입력
2. 저장","1. [Front] 저장 성공
2. [Data] 6글자 텍스트 저장됨
3. [Downstream] 없음",High,Boundary,Regression,Automation,,REQ-018
"PV > ICSR Config > Case ID > 자유 텍스트",TC-CASEID-011-002,자유 텍스트 7글자 초과 입력 차단 검증,"1. TXT Chip 추가 후 Custom Text 블록 활성화","1. 자유 텍스트 필드에 7글자 입력 시도(ABCDEFG)","1. [Front] 7번째 글자 입력 불가 또는 저장 차단
2. [Front] (문구 확인 필요) 에러 메시지 표시
3. [Data] 6글자 이하로 유지",High,Boundary,Regression,Automation,에러 메시지 문구 확인 필요 (참고용),REQ-018
"PV > ICSR Config > Case ID > 자유 텍스트",TC-CASEID-011-003,자유 텍스트 특수문자 입력 차단 검증,"1. Custom Text 블록 활성화","1. 특수문자('@', '-') 입력 시도","1. [Front] 특수문자 입력 불가 또는 저장 차단
2. [Front] (문구 확인 필요) 에러 메시지 표시
3. [Data] 영문/숫자 외 미저장",High,Negative,Regression,Automation,에러 메시지 문구 확인 필요 (참고용),REQ-018
"PV > ICSR Config > Case ID > 자유 텍스트",TC-CASEID-011-004,자유 텍스트 한글 입력 차단 검증,"1. Custom Text 블록 활성화","1. 한글(연구) 입력 시도","1. [Front] 한글 입력 불가 또는 저장 차단
2. [Front] (문구 확인 필요) 에러 메시지 표시
3. [Data] 미저장",High,Negative,Regression,Automation,에러 메시지 문구 확인 필요 (참고용),REQ-018
"PV > ICSR Config > Case ID > 일련번호 자릿수",TC-CASEID-012-001,자릿수 3 선택 후 Zero-padding 001 생성 검증,"1. Configuration 화면 접근","1. 자릿수 드롭다운에서 3 선택 후 저장
2. 케이스 첫 번째 생성
3. Case ID 일련번호 부분 확인","1. [Front] Case ID에 3자리 Zero-padding '001' 포함
2. [Data] 일련번호 3자리 형식 저장
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-019
"PV > ICSR Config > Case ID > 일련번호 자릿수",TC-CASEID-012-002,자릿수 5 선택 후 Zero-padding 00001 생성 검증,"1. Configuration 화면 접근","1. 자릿수 5 선택 후 저장
2. 케이스 생성
3. Case ID 일련번호 확인","1. [Front] Case ID에 '00001' 포함
2. [Data] 5자리 Zero-padding 저장
3. [Downstream] 없음",High,Functional,"Regression,Smoke",Automation,,REQ-019
"PV > ICSR Config > Case ID > 일련번호 자릿수",TC-CASEID-012-003,자릿수 9 선택 후 Zero-padding 000000001 생성 검증,"1. Configuration 화면 접근","1. 자릿수 9 선택 후 저장
2. 케이스 생성
3. Case ID 일련번호 확인","1. [Front] Case ID에 '000000001' 포함
2. [Data] 9자리 Zero-padding 저장
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-020
"PV > ICSR Config > Case ID > 일련번호 자릿수",TC-CASEID-013-001,자릿수 변경 후 신규 케이스 새 자릿수 적용 검증,"1. 자릿수 5 설정 및 케이스 5건(00001~00005) 생성
2. 자릿수 7로 변경 저장","1. 자릿수 변경 후 신규 케이스 생성
2. Case ID 일련번호 부분 확인","1. [Front] 신규 케이스 일련번호 7자리 형식(0000006) 확인
2. [Data] 7자리 자릿수 적용됨
3. [Downstream] 없음",High,Functional,"Regression,Integration",Automation,,REQ-021
"PV > ICSR Config > Case ID > 일련번호 자릿수",TC-CASEID-013-002,자릿수 변경 후 기존 케이스 자릿수 유지 검증,"1. 자릿수 5 설정 케이스 00001~00005 존재
2. 자릿수 7로 변경 저장","1. 기존 케이스(00001~00005) Tracker에서 확인
2. Case ID 일련번호 형식 확인","1. [Front] 기존 케이스 일련번호 여전히 5자리 형식(00001 등) 유지
2. [Data] 소급 변경 없음 확인
3. [Downstream] 없음",High,Functional,"Regression,Integration",Automation,"[데이터] 자릿수 변경 소급 없음 정책 검증",REQ-054
"PV > ICSR Config > Case ID > 일련번호 자릿수",TC-CASEID-013-003,자릿수 변경 소급 적용 없음 검증,"1. 자릿수 5 → 7 변경 완료","1. Tracker에서 전체 케이스 목록 조회
2. 변경 전 케이스 포맷 확인","1. [Front] 변경 전 케이스: 기존 5자리 그대로
2. [Front] 변경 후 케이스: 새 7자리 적용
3. [Data] 이력 분리 확인",High,Negative,"Regression,Integration",Automation,"[데이터] 데이터 일관성 검증",REQ-054
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-014-001,시작 번호 입력 후 첫 케이스 번호 적용 검증,"1. 자릿수 5 설정 완료
2. 기존 케이스 없는 상태","1. 시작 번호 '25' 입력 후 저장
2. 첫 케이스 생성
3. Case ID 일련번호 확인","1. [Front] 첫 케이스 일련번호 '00025' 확인
2. [Data] 시작 번호 설정 적용됨
3. [Downstream] 없음",High,Functional,"Regression,Smoke",Automation,,REQ-022
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-014-002,시작 번호 미입력 커서 아웃 시 강제 1 기입 검증,"1. Configuration 화면 접근","1. 시작 번호 필드 클릭 후 값 삭제
2. 필드 외부 클릭(커서 아웃)
3. 필드값 확인","1. [Front] 필드값 자동으로 '1' 기입됨
2. [Data] 없음",High,Functional,Regression,Automation,,REQ-023
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-014-003,저장 후 즉시 다음 케이스 시작 번호 적용 검증,"1. 시작 번호 '100' 저장 완료","1. 저장 직후 케이스 생성
2. Case ID 확인","1. [Front] 즉시 적용 — 첫 케이스 일련번호 '00100'(5자리 기준)
2. [Data] 적용됨",High,Functional,Regression,Automation,,REQ-022
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-015-001,시작 번호 최대임계치 정상 입력 검증,"1. 자릿수 5 설정 (최대값 99999, 임계치 99599)","1. 시작 번호 '99599' 입력
2. 저장","1. [Front] 정상 저장됨 (경계값 정상)
2. [Data] 99599 저장 확인
3. [Downstream] 없음",High,Boundary,Regression,Automation,,REQ-025
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-015-002,시작 번호 최대임계치 초과 입력 차단 검증,"1. 자릿수 5 설정 (임계치 99599)","1. 시작 번호 '99600' 입력 시도","1. [Front] 입력 불가 처리 또는 저장 차단
2. [Front] 오류 문구 미노출 확인 (기획서 명시: 오류 문구 없음)
3. [Data] 99599 초과값 미저장",High,Boundary,Regression,Automation,,REQ-025
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-016-001,최후 번호보다 작은 시작 번호 차단 검증,"1. 케이스 00001~00006 생성 완료 (최후 번호 6)","1. 시작 번호 '5' 입력 후 저장 시도","1. [Front] 저장 차단
2. [Front] 최후 번호보다 작은 값 설정 불가 안내
3. [Data] 기존 시작 번호 유지",High,Negative,Regression,Automation,,REQ-024
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-016-002,최후 번호와 동일한 시작 번호 차단 검증,"1. 케이스 00001~00006 생성 완료","1. 시작 번호 '6' 입력 후 저장 시도","1. [Front] 저장 차단
2. [Front] 최후 번호와 동일한 값 설정 불가 안내
3. [Data] 기존 시작 번호 유지",High,Negative,Regression,Automation,,REQ-024
"PV > ICSR Config > Case ID > 시작 번호",TC-CASEID-016-003,최후 번호+1 시작 번호 저장 성공 검증,"1. 케이스 00001~00006 생성 완료","1. 시작 번호 '7' 입력 후 저장
2. 케이스 생성
3. Case ID 확인","1. [Front] 저장 성공
2. [Front] 다음 케이스 '00007' 생성됨
3. [Data] 시작 번호 7 저장 및 적용됨",High,Functional,Regression,Automation,,REQ-024
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-017-001,Chip 추가 시 해당 설정 영역 활성화 검증,"1. Configuration 화면 접근 (Chip 없는 초기 상태)","1. Year Chip 추가
2. Year 설정 영역 상태 확인
3. TR Chip 추가 후 TR 설정 영역 확인","1. [Front] Year Chip 추가 시 Year 설정 영역 즉시 활성화
2. [Front] TR Chip 추가 시 TR 설정 영역 활성화
3. [Downstream] 없음",High,Functional,"Regression,Smoke",Manual,,REQ-028
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-017-002,Chip X 삭제 시 설정 영역 비활성화 및 설정값 유지 검증,"1. Year Chip 추가 후 Year = 4-digit 설정된 상태","1. Year Chip의 X 버튼 클릭 (삭제)
2. Year 설정 영역 상태 확인
3. 삭제된 설정값 확인","1. [Front] Year 설정 영역 비활성화됨
2. [Data] 이전 설정값(4-digit) 내부적으로 유지됨 (재추가 시 복원)
3. [Downstream] 없음",High,Functional,Regression,Manual,,REQ-029
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-017-003,Chip 재추가 시 이전 설정값 복원 검증,"1. Year Chip 삭제 전 Year = 4-digit 설정 완료
2. Year Chip 삭제됨","1. Year Chip 재추가
2. Year 설정 영역 확인","1. [Front] Year 설정값 4-digit으로 복원됨
2. [Data] 이전 설정값 유지 확인",Medium,Functional,Regression,Manual,,REQ-029
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-018-001,Chip 순서 변경 후 Preview 실시간 반영 검증,"1. YYYY Chip, TR Chip, ##### Chip 추가된 상태 (기본 순서: YYYY-#####-TR)","1. TR Chip을 YYYY Chip 앞으로 드래그
2. Preview 즉시 확인","1. [Front] Preview 즉시 'TR-YYYY-#####' 순서로 업데이트됨
2. [Downstream] 없음",High,Functional,"Regression,Smoke",Manual,,REQ-026
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-018-002,Chip 순서 변경 저장 후 케이스 생성 반영 검증,"1. TR-YYYY-##### 순서로 변경 저장 완료","1. 케이스 생성
2. Case ID 확인","1. [Front] Case ID가 TR-YYYY-일련번호 순서로 생성됨
2. [Data] 변경된 순서 적용 확인
3. [Downstream] 없음",High,Functional,Regression,Automation,,REQ-026
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-019-001,Year N/A 및 TR 미체크 시 포맷 영역 비활성화 검증,"1. Configuration 화면 접근","1. Year = N/A 선택
2. Type of Report 모두 미체크
3. 포맷 설정(Drag & Drop) 영역 상태 확인","1. [Front] 포맷 설정 영역 비활성화됨 (Drag & Drop 불가)
2. [Downstream] 없음",Medium,Functional,Regression,Manual,,REQ-027
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-019-002,Year 변경 시 포맷 영역 즉시 활성화 검증,"1. Year N/A + TR 미체크 상태 (포맷 영역 비활성화)","1. Year = 2-digit으로 변경
2. 포맷 설정 영역 상태 확인","1. [Front] 포맷 설정 영역 즉시 활성화됨
2. [Downstream] 없음",Medium,Functional,Regression,Manual,,REQ-027
"PV > ICSR Config > Case ID > 포맷 설정",TC-CASEID-019-003,Year N/A + TR 체크 시 포맷 영역 활성화 검증,"1. Year N/A 설정, TR Chip 추가됨","1. Type of Report 체크박스 1개 이상 체크
2. 포맷 설정 영역 상태 확인","1. [Front] 포맷 설정 영역 활성화됨
2. [Downstream] 없음",Medium,Functional,Regression,Manual,,REQ-027
"PV > ICSR Config > Case ID > 만료 임박 알림",TC-CASEID-020-001,잔여 100개 이하 케이스 생성 직후 팝업 노출 검증,"1. 자릿수 5, 시작 번호 99900 설정 완료
2. 케이스 99900번까지 생성 (잔여 99건 상태)","1. 추가 케이스 1건 생성
2. 팝업 노출 여부 확인","1. [Front] 케이스 생성 직후 만료 임박 팝업 즉시 표시됨
2. [Front] Configuration 화면이 아닌 케이스 생성 화면에서 노출
3. [Downstream] 없음",High,Functional,"Regression,Smoke",Manual,,REQ-030
"PV > ICSR Config > Case ID > 만료 임박 알림",TC-CASEID-020-002,만료 임박 팝업 내용 정확성 검증,"1. 잔여 100개 이하 상태 팝업 노출됨","1. 팝업 내용 전체 확인","1. [Front] 현재 마지막 Case ID 정확히 표시됨
2. [Front] 최대값 정확히 표시됨
3. [Front] New Case ID_1, New Case ID_2 예시 정확히 표시됨",High,Functional,Regression,Manual,,REQ-031
"PV > ICSR Config > Case ID > 만료 임박 알림",TC-CASEID-020-003,잔여 101개 케이스 생성 시 팝업 미노출 검증,"1. 자릿수 5, 시작 번호 99899 설정
2. 케이스 생성으로 잔여 101개 상태 만들기","1. 케이스 1건 생성 (잔여 101 → 100)
2. 팝업 미노출 확인","1. [Front] 팝업 미노출 (잔여 101개는 경계값 이상)
2. [Downstream] 없음",High,Boundary,Regression,Automation,,REQ-030
"PV > ICSR Config > Case ID > 만료 임박 알림",TC-CASEID-021-001,팝업 Confirm 클릭 후 팝업 닫힘 검증,"1. 만료 임박 팝업 노출 상태","1. 팝업 [Confirm] 버튼 클릭
2. 팝업 상태 확인","1. [Front] 팝업 즉시 닫힘
2. [Downstream] 없음",High,Functional,Regression,Manual,,REQ-033
"PV > ICSR Config > Case ID > 만료 임박 알림",TC-CASEID-021-002,Confirm 후 재로그인 시 팝업 재노출 검증,"1. 팝업 [Confirm] 클릭 완료
2. 잔여 번호 여전히 100개 이하","1. 로그아웃 후 재로그인
2. 케이스 생성
3. 팝업 노출 여부 확인","1. [Front] 팝업 재노출됨
2. [Downstream] 없음",High,Functional,Regression,Manual,,REQ-033
"PV > ICSR Config > Case ID > 만료 임박 알림",TC-CASEID-021-003,세션 만료 후 재접속 시 팝업 재노출 검증,"1. 팝업 Confirm 완료
2. 잔여 번호 100개 이하","1. 세션 만료 대기 (또는 세션 강제 만료)
2. 재접속 후 케이스 생성
3. 팝업 노출 확인","1. [Front] 세션 만료 후 재접속에도 팝업 재노출됨 (명시적 로그아웃 없이도)
2. [Downstream] 없음",High,Functional,Regression,Manual,"[세션] 세션 만료 포함 팝업 재노출 정책 (CONFIRM-004 결정)",REQ-033
